"zip","renter","hs_graduate","college_graduate","median_household_income"
"01826","0.17994090501643373","0.36029172666883447","0.16667440888186927","78133.0"
"01827","0.018719806763285024","0.20223713646532437","0.3069351230425056","118523.0"
"01830","0.4275053304904051","0.2944943759754588","0.16936655723588612","56074.0"
"01832","0.3308991328160657","0.2966313763233879","0.18139236445299967","58850.0"
"01833","0.11088492396120225","0.21908856405846946","0.2763542562338779","107683.0"
"01834","0.10973210231572575","0.27222808870116155","0.2211193241816262","95208.0"
"01835","0.28353563647681296","0.2431638418079096","0.23355932203389831","72568.0"
"01840","0.9225690276110444","0.2825493171471927","0.08528072837632777","18291.0"
"01841","0.719325645578828","0.35519588137804575","0.065093973694418","32928.0"
"01843","0.646326124883353","0.31422861195280766","0.09631874153826317","43301.0"
"01844","0.24833665652219541","0.31209767596482213","0.18420018737344737","71392.0"
"01845","0.2166648778219026","0.17780277081948775","0.31767292060733093","100286.0"
"01850","0.469616443619133","0.38878259993958314","0.1301983687443359","48979.0"
"01851","0.5526782063513698","0.3168890007550969","0.12902089101434683","50108.0"
"01852","0.5005223055180041","0.30291378279073744","0.1613261556865761","48420.0"
"01854","0.5487291439263995","0.3506174251086211","0.11325177223873771","41640.0"
"01860","0.12850107725453985","0.23524229074889869","0.25748898678414095","73986.0"
"01862","0.0767154572822589","0.34633324695516976","0.19720134749935217","103219.0"
"01863","0.15761353517364202","0.26157061809495374","0.25649447596297403","75687.0"
"01864","0.08945497630331753","0.23542175210197994","0.33568393454479706","123103.0"
"01867","0.13908450704225353","0.17538171314036433","0.3291870541767376","108282.0"
"01876","0.10195775735036137","0.33408250222409513","0.22802828112562626","90477.0"
"01879","0.11497907949790795","0.2470419505198996","0.3032150113541293","106290.0"
"01880","0.1908876355054202","0.25682798275035934","0.29441516264707446","86210.0"
"01886","0.06832594909217271","0.11821000134789054","0.3291548726243429","121591.0"
"01887","0.1292201774129485","0.30598809975946323","0.20692492720597544","100862.0"
"01890","0.11839918759231906","0.11077069716775599","0.29391339869281047","143017.0"
"01901","0.9198113207547169","0.2718351324828263","0.12070657507360157","21605.0"
"01902","0.6402682804273262","0.3130791588305693","0.1163275773636519","38045.0"
"01904","0.1833990261998609","0.3385699246902583","0.1959672848003887","84932.0"
"01905","0.5115677139330227","0.3459193829310774","0.11849962677282906","50903.0"
"01906","0.17583388557543628","0.3599765773678817","0.16586151368760063","77371.0"
"01907","0.17591577100241282","0.1743018980423333","0.28361323660936105","98475.0"
"01908","0.266548463356974","0.23858998144712432","0.2571428571428571","65284.0"
"01913","0.23884865818779286","0.23619357462383084","0.2605124034160228","76558.0"
"01915","0.32045454545454544","0.2321569754905484","0.2826493207791274","72837.0"
"01921","0.014322755895789603","0.14874892148403795","0.3656600517687662","140268.0"
"01922","0.12072207596840917","0.09701869631126832","0.42748863062152603","87412.0"
"01923","0.25069194312796206","0.23949472826363774","0.268221871339072","77949.0"
"01929","0.20444444444444446","0.22869263401465484","0.2969533359043579","92396.0"
"01930","0.31409498644044226","0.29213740108859715","0.21483785390842977","61505.0"
"01937","","","",""
"01938","0.2102737157855268","0.20092101311442587","0.2752027229952948","76458.0"
"01940","0.11296483979106572","0.2027792624265099","0.2998396579369321","111911.0"
"01944","0.29317879536386093","0.16448213826779748","0.31020303263942434","95243.0"
"01945","0.14776134319408354","0.10913511635984717","0.3560263980548802","102993.0"
"01949","0.13736478561188584","0.3080187964226163","0.23434894649082916","108622.0"
"01950","0.18691317955256753","0.15363881401617252","0.3415693321353699","85556.0"
"01951","0.19515847267282255","0.12445193929173694","0.32411467116357506","91304.0"
"01952","0.25496843581949963","0.3077413188913667","0.19496654985664225","69500.0"
"01960","0.3170818015609334","0.3397278372308099","0.18882282996432817","60469.0"
"01966","0.2838478104809763","0.24563927351195827","0.2618234130552059","64839.0"
"01969","0.1059805759073096","0.32587064676616917","0.22523744911804613","86820.0"
"01970","0.48943178698874557","0.2563507191128054","0.24169121469416047","60583.0"
"01982","0.16728057919471612","0.10932171276998863","0.36832133383857524","109500.0"
"01983","0.03629617680271011","0.1737382760160786","0.2927646270656543","114565.0"
"01984","0.06416054267947993","0.1636","0.4032","109250.0"
"01985","0.08056763561455711","0.14832535885167464","0.34107997265892004","131167.0"
"02019","0.17058073912251956","0.34274363959090526","0.1877271574676697","88460.0"
"02021","0.1683445961476578","0.1678099593495935","0.3363821138211382","95045.0"
"02025","0.16243216576221017","0.118332423083925","0.4139814309120699","113843.0"
"02026","0.2556359529884144","0.2345069650104201","0.27163540638367883","83438.0"
"02030","0.06381134038494884","0.040930979133226325","0.40074906367041196","185542.0"
