"zip","renter","mortgage","hs_graduate","college_graduate","median_income","household_size"
"01535","0.2295187165775401","0.7486209613869188","0.39226869455006336","0.15494296577946767","32735.0","2.59"
"01536","0.19957865168539327","0.7851782363977486","0.24273898826697443","0.25697249471052125","","2.66"
"01537","0.09766637856525497","","0.36683417085427134","0.2198492462311558","28389.0","2.95"
"01540","0.1991998511350949","0.7700258397932817","0.3529186358411036","0.2126708391876357","34106.0","2.62"
"01541","0.10291949277499263","0.8021877848678214","0.17647058823529413","0.3139959432048682","","2.73"
"01542","0.22178988326848248","","0.3248762376237624","0.13304455445544555","36612.0","2.66"
"01543","0.07949434787893521","0.8028169014084507","0.2826867816091954","0.2848419540229885","44156.0","2.86"
"01545","0.19690521153358326","0.6884272997032641","0.18350696623572235","0.2804066775448726","","2.79"
"01550","0.5259899472845408","0.7259308956725931","0.37007454739084134","0.1039226127085552","","2.45"
"01560","0.4057486631016043","","0.23121191604603927","0.2758970886932972","","2.66"
"01561","","","","","","2.43"
"01562","0.2633640954205119","0.7083599234205488","0.36313439849624063","0.15648496240601503","27363.0","2.51"
"01564","0.14596232380450533","0.7631126397248496","0.22551662174303683","0.2842767295597484","","2.81"
"01566","0.09938861890578461","0.5994304698623636","0.18733451015004413","0.2773609885260371","44614.0","2.7"
"01568","0.12041956136766108","0.8126734505087881","0.21256420387198735","0.28644804425128406","","2.83"
"01569","0.18967287663194954","0.7744012361576101","0.3129820749592613","0.23335143943508962","37758.0","2.85"
"01570","0.4517036765155686","0.6679841897233202","0.3645499071102854","0.15546360412092552","","2.47"
"01571","0.19937190711838598","0.7011605415860735","0.30658909484508184","0.20051413881748073","","2.62"
"01581","0.31003294065099657","0.7664451065780427","0.1449816961561928","0.36874618669920683","","2.59"
"01583","0.14312267657992564","0.6764872521246459","0.2814935653434838","0.2091716512597426","29450.0","2.53"
"01585","0.21492403932082216","0.6149963950973324","0.42435747663551404","0.1875","30930.0","2.39"
"01588","0.34940138626339007","0.6973229706390328","0.2770249461040961","0.2077302125038497","30133.0","2.55"
"01590","0.07880794701986756","0.7784648963259367","0.25665899375205525","0.2530417625780993","","2.93"
"01602","0.36400644180012526","0.6968094804010939","0.22794164087665003","0.25162635002842165","30728.0","2.45"
"01603","0.47455331562223263","0.7217442895283299","0.3265826473373643","0.12581044656516355","","2.69"
"01604","0.5314851255932399","0.698342032545287","0.3329188942765966","0.19068341000455882","","2.49"
"01605","0.6495074438930449","0.8155725190839694","0.31064512432680186","0.16483327603987624","","2.62"
"01606","0.29713407269133635","0.7168260038240918","0.2654196157735086","0.24859165101834466","","2.4"
"01607","0.49444073826995777","0.6892966360856269","0.32602177686602496","0.21287675556256905","25202.0","2.48"
"01608","0.9683898584129075","","0.29356357927786497","0.13186813186813187","","2.18"
"01609","0.5519614147909968","0.6719367588932806","0.204300139275766","0.2096100278551532","15029.0","2.24"
"01610","0.8178973105134474","0.700079554494829","0.36749851455733806","0.08771538918597742","14891.0","2.65"
"01611","0.31962025316455694","","0.3290717065036131","0.19232907170650362","29646.0","2.75"
"01612","0.1063731170336037","0.7507352941176471","0.12137975919297103","0.25968109339407747","36524.0","2.88"
"01701","0.17857953256183345","0.7135729559108034","0.2004955782458239","0.3379330969368138","40615.0","2.54"
"01702","0.6267316793345762","0.7053266331658291","0.2675417661097852","0.2322593476531424","25209.0","2.42"
"01718","","","","","79844.0","2.4"
"01719","0.19162262673713054","0.726813880126183","0.08361774744027303","0.3304891922639363","","2.45"
"01720","0.17275357078286024","0.7692069392812887","0.07012494276182377","0.31255314973506904","","2.62"
"01721","0.15211970074812967","0.7882934245534018","0.1751696406132194","0.31909189913713665","","2.59"
"01730","0.23444108761329305","0.6989276876546604","0.10002066542674107","0.28652614176482744","56628.0","2.63"
"01731","0.99591211037302","","","","","3.51"
"01740","0.058266129032258064","0.7451891174518912","0.15591397849462366","0.3342293906810036","53764.0","3.11"
"01741","0.02863914675093818","0.6686390532544378","0.05552375500858615","0.37092157985117347","","2.88"
